"entry_number";"ADF_04_me17";"ADF_10_me17";"ADF_avg";"ADL_04_me17";"ADL_10_me17";"ADL_avg";"AGR_me17";"AGR_po17";"AHD_avg";"AHD_me16";"AHD_me17";"AHD_lu16";"AHD_lu17";"AHD_po16";"AHD_po17";"AMH_me17";"AMH_po17";"13C_lu16";"CH300h_lu16";"CH300h_lu17";"CH300h_po16";"CH300h_po17";"CHs300_me16";"CHs300_me17";"CHs300_lu16";"CHs300_lu17";"CHs300_po16";"CHs300_po17";"CH400h_lu16";"CH400h_lu17";"CH400h_po16";"CH400h_po17";"CHs500_me16";"CHs500_me17";"CHs500_lu16";"CHs500_lu17";"CHs500_po17";"DES_po15";"DHE_07_lu16";"DHE_01_lu16";"DHE_04_lu17";"DIS_avg";"DIS_me16";"DIS_me17";"DIS_lu15";"DIS_lu16";"DIS_lu17";"DIS_po15";"DIS_po17";"DNDF_04_me17";"DNDF_10_me17";"DNDF_avg";"DRB_lu1516";"DRO_avg";"DRO_lu16";"DRO_po16";"DST_avg";"DST_lu17";"resDST_lu17";"DST_po17";"DVG_04_lu17";"GRH_avg";"HEA_avg";"HEA_lu16";"HEA_lu17";"HEA_po16";"HEA_po17";"resCH300h_lu16";"resCH300h_lu17";"resCH300h_po16";"resCH300h_po17";"resCHs300_me16";"resCHs300_me17";"resCHs300_lu16";"resCHs300_lu17";"resCHs300_po16";"resCHs300_po17";"resCH400h_lu16";"resCH400h_lu17";"resCH400h_po16";"resCH400h_po17";"resCHs500_me16";"resCHs500_me17";"resCHs500_lu16";"resCHs500_lu17";"resCHs500_po17";"HFY_avg";"HFY_lu15";"HFY_po15";"HST_lu17";"LMW_avg";"LMW_me16";"LMW_lu17";"LMW_po16";"LSL_lu17";"LSP_lu17";"NDF_04_me17";"NDF_10_lu17";"NDF_avg";"NLI_lu16";"NSL_lu17";"OMD_04_me17";"OMD_10_me17";"OMD_avg";"PRT_04_me17";"PRT_10_me17";"PRT_avg";"RAS_avg";"RAS_me15";"RAS_lu15";"RAS_po15";"SCD_su15_lu";"SCD_wi1516_lu";"SCD_15to18_lu";"SCD_su16_lu";"SCD_wi1617_lu";"SCD_su17_lu";"SCD_wi1718_lu";"SCD_wi1516_po";"SCD_15to17_po";"SCD_wi1617_po";"SCD_16to17_me";"SCD_su17_me";"SCD_wi1617_me";"SGR_me16";"SGR_me17";"SGR_lu16";"SGR_po17";"SMH_me16";"SMH_me17";"SMH_lu16";"SMH_po17";"VAC_avg";"VAC_lu16";"VAC_lu17";"VAC_po17";"VAS_avg";"VAS_me15";"VAS_lu15";"VAS_po15";"WID_po16";"WID_po17";"WSC_04_me17";"WSC_10_me17";"WSC_avg"
1;16,3016337033337;23,1899291750003;19,3010329016668;0,419487569999974;1,32623456799999;0,872861068810134;0,145096809082576;0,142499497396945;1,9455553170484;1,04444809033352;1,82841118500004;2,43215385433346;1,06527600700011;3,02744584148533;1,25491671630135;127,132822732766;132,937295133333;-30,5045;65,12986777;85,71324963;143,102738083103;80,9259604139672;21,93583723;65,9671781574183;47,516139;47,1020034;216,53899466105;69,3259882095331;43,71784952;65,65729814;77,9314381017939;57,7743494571108;91,51119718;119,431340890416;105,462308958565;80,27308972;134,479736463205;25,277690651931;4,73181726975005;6,2253148338336;3,52101999112482;3,17918416011905;1,60972616266664;2,10087543816654;4,10548117450023;1,01298885100005;4,5658620050001;2,55174413344136;3,74607106946645;82,3769182766662;73,1185185199997;77,7477183991905;3,48698270960028;6,86085060633855;6,7256891565414;6,99306727583775;7,28115631385011;7,28115631385011;NA;8,66626080583514;6,2253148338336;4,72558175506713;770,170847455065;869,800000000064;873,166666666679;657,147358779382;681,548783375779;-35,048854097886;-17,5541655241543;3,53362732800651;-12,7344537098831;-18,3299817535198;-0,879999264473571;-11,1846749379456;-10,9029723524364;-3,51181391055922;-16,268066681666;-25,6563585103733;-14,5321227491525;4,36755117181815;-8,0151723125148;-46,5113002609583;-11,4486220369775;-22,3835370714775;-15,9791848537424;-27,0740899907965;1,36301932839374;0,958800051999781;1,75977231015314;44,4800663191666;4,31996542361523;4,86882716033309;3,00743553800014;5,02037025428407;10,2848960624998;188,875133441664;36,5396130000007;46,9772839500004;41,7584484761025;2,89470650000001;25,1818047100003;91,1419678333332;83,2024074066662;87,1721876218092;14,1090942666664;17,1312530866671;15,6201736777738;6,86007694546741;4,9007370546667;7,00639972299954;8,00910533440902;-1,00000000000018;1,00000000000012;-1,00000000000023;-1,66666666666688;1,33333333333343;-1,33333333333334;-0,333333333333446;-1,54615501059606;-1,88830295307109;-1,2674825907927;-0,249999999999912;-0,532098765432318;0,282098765432408;0,0860988949709756;0,0860988949709756;-0,014509027259173;0,115887616316048;248,817592666667;122,938888888889;73,307960875;143,716041133333;4,65045429545599;3,69095867916688;5,67209466066667;4,74265552978744;4,51823452072067;5,71975308633306;8,01406270599937;3,29616950165647;5,36182811439254;4,41390759424699;32,223248503333;17,793827159999;25,0085378316678
2;17,7349670366666;22,189929175;20,0510329016664;0,649487569999987;1,48623456799998;1,06786106881014;0,138184915134697;0,147080177621969;3,11218931485402;1,54444809033332;4,49507785166648;3,43215385433332;1,39860934033333;4,41199503783969;2,98471728159608;116,4661560661;138,930149066667;-29,6980000000001;163,2182921;143,8292979;252,456271952484;132,811893081699;38,71468813;67,5805188569515;63,2090435;52,92927519;230,381044248089;75,0331305327839;123,418522;124,3998755;185,747042880616;102,660773981928;128,8551528;121,622927158107;111,709463287443;82,66812569;126,707399647701;26,6259285654182;4,06515060308327;6,22531483383336;4,1876866577916;3,39346987440476;2,27639282933326;2,4342087715001;3,85548117450008;2,34632218433343;4,73252867166665;3,14200604064021;3,28855359590418;80,3102516099999;70,7185185199999;75,514385065857;3,55364937626661;6,70687144323623;6,72568915654144;6,68504434686959;5,21786048998666;5,21786048998666;-0,448352335207435;6,43324284667842;6,22531483383336;4,21160838289727;985,990992040512;1127,96666666669;1166,43333333333;795,353030565694;854,391237048779;27,3228615772462;5,2050103278558;33,6628788572044;1,93610425876302;3,33159873444813;3,6350666466199;9,39761336248323;-4,96687691104421;29,450207823096;-2,17074147379716;21,1210417505783;3,8519210892671;24,6184422874241;-0,181739553909598;21,1519141224514;11,0548854590902;15,102760490463;-4,23890773538609;-1,0099349942586;1,36285246283399;1,29213338533333;1,43571761828733;43,8133996524997;4,73036122243246;6,53549382699992;2,67410220466667;4,96941056017815;10,9515627291667;205,208466775;38,139613;48,0439506166665;43,0917818094357;2,65271409999997;28,8484713766666;89,9753011666667;81,1024074066668;85,5388542884761;13,5957609333334;16,8812530866664;15,2385070111072;7,77634901070998;7,23407038799969;7,17306638966657;8,9836557292893;-1,00000000000003;0,333333333333377;-1,33333333333333;-0,999999999999971;1,00000000000008;-1,33333333333333;-0,333333333333305;-0,736436572812625;-2,06472834111479;-0,458661321390685;-0,916666666666659;-1,53209876543209;0,615432098765418;0,0950021522926599;0,0950021522926599;0,00980057989757512;0,124654538459339;258,817592666667;124,272222222222;97,9746275416665;152,255050333333;5,05387429655433;4,02429201249998;6,00542799399991;5,04884727624478;5,36943400242196;6,71975308633314;8,01406270599991;4,0298934373063;6,09916994378999;5,33955361189278;31,0899151700001;17,860493826667;24,4752044983343
3;15,7349670366667;21,8232625083334;18,9176995683334;0,529487570000001;1,29623456799999;0,912861068810149;0,166984473250866;0,155560587249152;2,81160581244529;1,37778142366668;2,1617445183333;3,76548718766677;1,06527600700003;4,06604558690257;3,34280555038444;135,4661560661;143,287952366667;-30,4450000000001;118,3525735;106,0385087;215,763844779807;100,137046197736;39,88749596;71,0225173804115;48,83520465;53,21709213;249,823304857667;71,5220526063071;79,47056755;84,76795124;136,892340981698;74,5077705642534;118,6280369;117,705909575927;108,547242236125;75,32247453;128,818372116235;27,0350821846588;4,39848393641661;4,89198150050004;2,85435332445835;2,6315651125;1,27639282933329;1,9342087715001;3,27214784116681;1,01298885099999;4,39919533833328;1,35221600762551;2,99739354964761;80,8435849433333;73,4851851866668;77,1643850658568;2,82031604293331;6,25516503075413;6,39235582320809;6,12095131997952;6,91501332741514;6,91501332741514;0,266443950163398;7,77929163240974;4,89198150050004;3,29673916807359;871,928663585485;1018,66666666664;1000,60000000003;717,703138660788;750,164989787733;1,50193284033527;-13,7328601465316;39,2142604240844;-10,8948371391462;1,90084754506292;5,52981322621852;-7,58333265237125;-4,73708669441698;38,697356244733;-10,155615446109;-5,27163326211693;-14,2601090078053;22,4548167486491;-8,57742297871801;-5,24197452061974;-3,69281294667978;-4,71673220717289;-16,5676091425445;-16,9411870344633;0,930371917927634;0,958800051999957;0,904603892446491;49,1467329858331;4,62412601525391;5,53549382700013;3,34076887133332;5,03378554476882;11,2848960625;218,875133441668;36,0729463333335;47,9439506166666;42,0084484761025;2,70937175000001;25,8484713766668;90,5086344999999;83,6690740733335;87,0888542884758;15,0390942666666;17,36458642;16,2018403444405;7,50287326634616;7,23407038799995;6,6730663896666;8,88474692015076;-1,33333333333337;0,666666666666661;-0,666666666666666;-0,999999999999997;0,666666666666652;-0,999999999999994;0,0000000000000319744231092045;-1,37138964577657;-2,03532410977418;-1,03790931073551;-1,58333333333337;-1,1987654320988;-0,384567901234582;0,100937657173783;0,100937657173783;-0,00672995296901348;0,149766824107439;262,484259333334;134,272222222222;87,1412942083333;167,548907133333;4,75586973059524;3,52429201250001;5,6720946606666;4,71228262378392;4,9799629417622;6,38641975299998;8,01406270599993;3,57839009785193;5,74677576024202;4,02010540426349;31,7565818366665;17,4271604933333;24,5918711650001
6;17,06830037;22,389929175;19,8843662350001;0,326154236666667;1,31623456800001;0,821194402143477;0,138184915134697;0,133419613789074;2,39397675600576;1,37778142366665;2,16174451833337;3,09882052100011;1,39860934033337;3,43185883795677;1,97790526773738;111,132822732766;126,458192066667;-30,8580000000001;78,28251475;98,31868376;154,70751133675;89,925563414868;35,86773825;69,1216934166135;55,22746056;50,93776717;240,102211366577;77,2035246839646;52,31746449;74,46921166;86,8294237095074;62,710027588643;141,381876;113,411515626379;126,10767378207;90,5631618;153,803197701133;28,0276298945819;4,39848393641662;5,55864816716665;3,18768665779169;3,15537463630952;1,94305949599999;2,10087543816664;4,0221478411666;1,01298885099998;4,06586200500015;3,05708505402644;3,4761522864289;81,41025161;74,6185185199998;78,0143850658569;3,42031604293329;6,62382127897203;6,39235582320811;6,85829611779701;7,86332790601333;7,86332790601333;0,370008948284737;8,39580061198824;5,55864816716665;3,94261474304719;773,84400795944;877,700000000002;883,499999999997;655,266969434302;678,728762951241;-22,1984303991239;-5,24790985709249;14,4680302293892;-4,04975521944212;-4,35676464889027;2,29906945856941;-3,43198098751245;-7,06628775175989;20,2131898390997;-8,31953518285654;-17,3353296624976;-6,06171013688664;12,5245923845763;-3,39302465938134;3,61593035827791;-17,2965743677823;-1,47383668272392;-5,61003635404403;-7,46431526076992;1,01378868404101;0,958800051999961;1,0666312383796;42,8133996524998;5,30781700473414;6,53549382699994;3,67410220466661;5,72593205848846;9,28489606250002;167,541800108334;37,4729463333334;47,6106172833334;42,5417818094357;2,73772940000003;21,5151380433334;90,8753011666666;83,4357407399999;87,1555209551426;12,7824276;17,4612530866666;15,1218403444405;7,46140390039149;7,56740372133327;6,83973305633304;8,06413838937744;-0,666666666666695;0,666666666666677;-1,33333333333334;-1,00000000000002;1,00000000000003;-1,33333333333333;-0,666666666666667;-1,59689676052072;-1,26868305654944;-2,54068580784121;-0,916666666666663;-0,865432098765434;-0,0512345679012296;0,0694794813038298;0,0694794813038298;-0,0326602006028784;0,11292400158436;267,150926;106,272222222222;72,6412942083333;137,279402533333;4,75415973004578;4,35762534583339;5,33876132733328;4,75918675055532;5,30436320091153;7,7197530863332;8,34739603933327;2,87819479669381;5,87810484554331;3,72394906210724;33,4232485033331;16,7604938266666;25,0918711649999
7;16,2349670366667;22,4565958416666;19,1176995683333;0,549487570000009;1,37290123466667;0,961194402143478;0,134728968160757;0,137914096811164;2,51897675600578;1,71111475700008;2,49507785166682;3,09882052099996;1,065276007;3,43185883795682;2,31123860107076;126,132822732766;128,458192066667;-30,5725000000001;95,38906669;101,8836805;188,534856927369;96,5106008627483;31,11205694;62,4872634161615;53,0598959;51,96244923;237,194278823412;75,69732210116;68,37969913;81,98058851;118,950342314679;69,5163185124188;114,4154071;112,430720874768;103,253932190883;83,33899822;142,127112447748;30,6942965612485;4,06515060308328;6,22531483383332;3,02101999112503;3,27442225535714;1,94305949600005;2,60087543816658;3,68881450783337;1,01298885100005;4,39919533833333;3,0570850540264;4,1428189530957;79,9102516099999;72,6518518533334;76,2810517325236;3,15364937626664;6,45715461230535;6,55902248987477;6,35829611779698;6,52999457268004;6,52999457268004;-0,485749459037695;6,72913394532174;6,22531483383332;3,83150363193608;829,295674626107;963,699999999976;947,799999999988;695,146969434307;710,3554296179;-14,4406641686699;-10,9375123241355;27,5585591735506;-7,20577668390839;-7,83440007183309;-3,57583906824984;-4,31975803204049;-6,01312129229217;22,3098763972759;-7,62962214341477;-9,89070365511638;-9,11410849615012;21,7256011048379;-6,28528920070029;-15,4145258539246;-12,9607594410435;-16,1507874431051;-10,3880994900126;-10,2837582582783;0,930455350707674;0,958800051999962;0,899964571712867;48,4800663191665;4,64115033806746;5,53549382699985;2,6741022046667;5,72593205848846;9,28489606250002;163,541800108334;36,1729463333334;46,6439506166665;41,4084484761024;2,53637364999998;22,5151380433334;91,2086344999998;82,4690740733334;86,8388542884759;13,8790942666667;16,2179197533333;15,0485070111072;6,62807056705816;6,56740372133344;5,67306638966656;8,0641383893775;-0,333333333333357;0,333333333333343;-1,00000000000001;-0,666666666666674;1,00000000000003;-1,66666666666666;-0,00000000000000116573417585641;-1,93023009385407;-1,93534972321609;-2,87401914117459;-1,25;-0,865432098765436;-0,384567901234566;0,102124758150008;0,102124758150008;0,0000767370348759427;0,130941092081632;260,150926;128,272222222222;83,3079608749999;144,612735866667;4,62082639671244;3,52429201250005;5,67209466066664;4,625853417222;4,13769653424487;5,38641975300001;8,0140627059999;2,87819479669396;5,87810484554332;4,05728239544046;33,1899151699999;19,29382716;26,2418711650005
8;17,3016337033333;23,1732625083334;19,7676995683333;0,54282090333333;1,27290123466665;0,907861068810142;0,103625445395293;0,161973230312292;2,31819222532445;1,54444809033334;2,16174451833327;2,4321538543333;1,39860934033334;3,5194148760326;1,6479779413334;116,466156066099;139,7775039;-30,4415000000001;99,57036813;110,799446;191,006286177347;93,9259937808343;41,14210186;61,1122103274519;52,47525623;61,85743207;236,697133529136;72,4561625707731;69,22377227;91,34726899;122,08751761898;67,1186240109688;126,6412421;113,051333186488;108,568582059245;92,66898951;138,880380987476;27,32677923;4,39848393641662;6,22531483383332;3,02101999112503;2,91727939821429;2,60972616266669;2,10087543816665;3,77214784116664;1,34632218433326;4,23252867166657;1,68287888066657;2,88235294116654;81,1435849433335;74,01851852;77,5810517325236;3,28698270959997;6,33201302777077;6,55902248987478;6,1050035656666;6,20726086466669;6,20726086466669;-0,803070308289407;6,74785506266664;6,22531483383332;3,85488934074999;829,924166666657;963,700000000001;942,733333333333;699,923333333328;713,339999999997;-10,5824951625067;-2,34162378557892;29,3132388646896;-10,1270747727924;2,23981936353933;-4,92463997513055;-4,86016298537998;3,88284608555183;21,9857112953891;-10,7948748974511;-9,34449046589775;-0,112555477611601;24,0705701810223;-9,0182056154023;-2,91438965862082;-12,1563832611057;-10,5535140978316;-0,973560921419849;-13,2243677839293;0,938320573437494;0,958800051999981;0,917841094999993;44,1467329858332;4,74131133580555;6,20216049366666;3,00743553800004;5,01433797600002;11,2848960625;194,541800108334;37,339613;46,5106172833333;41,9251151427691;2,62309265000005;25,8484713766667;90,7753011666667;83,8690740733334;87,3221876218092;13,2490942666667;16,54458642;14,8968403444405;7,66054312221738;7,56740372133328;7,1730663896666;8,19056372600003;-1,00000000000002;0,666666666666673;-0,666666666666673;-0,666666666666682;1,00000000000003;-1,66666666666666;0,00000000000000199840144432528;-0,692037541628832;-2,02356241723794;-2,13627517314009;-1,24999999999999;-1,19876543209876;-0,051234567901227;0,0884730969234249;0,0884730969234249;-0,01321251487748;0,113784522661496;278,817592666667;124,272222222222;83,4746275416666;143,017226433333;4,77068367996672;3,52429201250001;5,67209466066658;4,77068368006665;5,92023193500008;7,05308641966664;8,01406270599992;4,78737745033339;6,1553040613333;4,03175133699995;32,2899151699998;18,7271604933333;25,5085378316668
9;16,2016337033333;22,7065958416668;19,0843662350001;0,466154236666664;1,35290123466668;0,909527735476808;0,14048887978399;0,143577659370622;2,21143270319375;1,21111475700006;2,82841118500005;2,09882052099993;1,06527600699995;3,06298567305432;2,28307765868608;123,799489399433;133,614410266667;-30,8995000000001;113,3996585;124,9831905;227,091188281216;123,775226790183;33,13739047;56,2129528895593;55,16525573;54,42929996;209,853711359128;76,840672870995;88,17862377;112,5891035;161,647578441439;99,8615887713019;128,0199486;107,634123723121;93,7392896820067;79,73565727;121,048653340586;27,6526602732563;4,73181726974995;5,89198150049999;4,52101999112503;2,86966035059524;1,60972616266669;2,10087543816658;3,60548117449994;1,012988851;4,73252867166672;1,72108126040087;3,19444501128122;82,5102516099999;72,9518518533332;77,7310517325236;3,08698270959997;6,86733594265534;6,8923558232081;6,84234836348404;4,65557544326501;4,65557544326501;-1,14277235771909;7,03103070891185;5,89198150049999;4,27854269350143;970,648677707269;1062,30000000001;1185,23333333334;788,720497440188;846,740439830151;-19,911184889645;-11,0825489595081;14,0307439507496;-4,40752613377115;-2,59903047660418;-7,942478401378;1,00001251912518;-3,47472700465173;7,53928624814925;-0,970342389953172;-11,7364122688024;-5,03836494269697;6,8554696687884;-0,299639467855685;18,1227013187334;-4,40376030551375;-5,12798780649039;-7,84763079747042;-9,1172093057865;0,938404006217541;0,958800051999954;0,913201774266344;39,4800663191665;4,09166899195245;5,53549382700006;1,6741022046667;5,03981782305299;9,95156272916669;180,875133441667;36,2062796666668;47,3772839500001;41,7917818094357;2,55570665;22,8484713766667;91,2419678333333;83,0690740733332;87,1555209551426;14,8690942666667;16,6012530866665;15,7351736777738;7,78574042292934;7,56740372133345;7,17306638966658;8,70328852855999;-1,00000000000002;1,00000000000001;-0,333333333333341;-1,33333333333335;1,33333333333336;-2,33333333333333;1;-1,23819255222525;-1,91182633814363;-1,40408419931704;-0,916666666666665;-1,19876543209877;0,282098765432105;0,0902537483877613;0,0902537483877613;-0,0171020520225596;0,120697491346077;246,150926;118,605555555555;84,4746275416666;146,9143885;5,16897367941735;4,19095867916675;5,83876132733329;5,21758780683802;5,0779655274828;6,71975308633328;8,01406270599986;3,4205154825083;5,61996647996791;3,73559499484376;31,2899151699998;18,4604938266667;24,8752044983332
10;15,5016337033333;22,3232625083334;18,5843662350001;0,416154236666666;1,14956790133333;0,782861068810122;0,107081392369234;0,128176050263302;2,10231008933911;1,21111475699999;2,16174451833332;2,43215385433333;1,065276007;3,09852550462348;1,64457193440409;110,799489399433;133,958192066667;-30,7690000000001;113,0351163;127,1605585;228,512793742219;110,377732190946;40,78277984;61,6248663993589;50,35312635;56,46850462;229,871152504086;79,8558024931539;82,89733362;111,142061;155,578466310142;82,3199962617909;118,5958619;94,8280429761164;97,0792877170501;88,31883757;141,617921676085;30,0276298945818;4,73181726974994;6,89198150050001;4,35435332445843;2,91727939821429;2,27639282933331;2,10087543816666;3,60548117449995;1,01298885099999;4,56586200499999;1,89041838735976;3,14281895309573;81,4435849433332;75,6518518533334;78,5477183991903;3,08698270960005;6,79048794563861;6,89235582320808;6,69162945113033;5,52999457268009;5,52999457268009;-0,817839300574475;7,72913394532158;6,89198150050001;4,38705918749157;906,847341292833;1037,4;1084,2;759,170302767645;746,438762951241;-9,93367391900595;1,3326788060079;38,3923618380158;-7,029017052985;3,63252623864095;-3,37078218916083;-5,22787629504619;-1,46703308657923;22,0203894714864;-0,384656038801261;-7,48451068125964;5,20072253088084;26,141407279829;-7,1122475493695;-0,0805645955533594;-23,0913171810046;-10,8335287499518;-1,97043838069522;1,6544373952711;1,09712201737433;1,29213338533331;0,899964571712856;39,8133996524999;3,97448367140082;4,53549382700002;2,34076887133336;5,05926539182179;9,28489606249998;179,208466775001;35,139613;45,9106172833333;40,525115142769;2,45202174999999;23,5151380433334;92,3086345;85,3690740733335;88,838854288476;13,8357609333333;17,52458642;15,6801736777737;7,4614039003915;6,90073705466656;7,17306638966655;8,06413838937747;-1,00000000000002;0,666666666666681;-0,666666666666732;-0,666666666666758;0,666666666666707;-1,33333333333328;0,0000000000000831557045444242;-1,60323947926126;-1,94123056948426;-2,15816954330549;-0,583333333333332;-0,865432098765443;0,282098765432101;0,0570149210534716;0,0570149210534716;-0,0239087420264492;0,125793351939554;254,817592666667;107,272222222222;82,4746275416666;146,612735866667;5,08749306337914;3,85762534583336;6,17209466066661;5,09252008388864;4,13769653424479;5,38641975299997;8,0140627059999;2,87819479669383;6,21143817887657;3,39061572877393;33,5565818366667;18,1271604933333;25,841871165
11;16,1349670366667;21,789929175;19,3510329016668;0,529487570000002;1,436234568;0,982861068810137;0,0898016574995335;0,145956556866446;2,46980963571761;1,54444809033333;2,16174451833335;2,09882052099999;1,065276007;4,34581856733982;2,31805061492929;107,799489399433;138,430149066667;-30,543;115,5055797;108,1965183;181,853081561593;105,210690163627;38,85627972;65,6278764556942;53,9151521;53,21472812;237,060376390352;82,5560054586638;80,1356307;87,07421885;111,840277671625;80,2251957410788;124,663823;113,159418851157;112,012305188173;83,92434867;140,14816400668;29,2925952320848;4,73181726974996;6,55864816716667;3,35435332445824;3,01251749345238;1,60972616266666;2,43420877149995;3,43881450783341;1,01298885099999;4,73252867166672;2,30867270730695;3,28855359590432;80,9435849433332;72,51851852;76,7310517325234;2,95364937626669;6,62353810990292;7,05902248987481;6,1850443468697;6,55119382332012;6,55119382332012;-0,349341548914148;7,4332428466784;6,55864816716667;4,21160838289727;842,67265870723;994,100000000021;963,666666666669;687,643030565687;725,461237048769;3,02478356518468;-7,24903103039081;14,9963779179398;-1,26799083480734;0,272242296952441;-0,219846078016304;-3,10158833571826;-4,7527649893867;23,5951499226885;-0,148179205210248;-0,578495122432205;-7,01608191821815;8,11606379056611;1,6733374156231;-2,91566927410603;-10,7244133333362;-5,07369553243599;-9,10910045819585;-9,75120012755468;1,11285246283398;1,29213338533331;0,935717618287067;43,8133996524998;4,73036122243266;6,86882716033327;2,34076887133334;4,96941056017821;9,95156272916676;159,208466775;36,0062796666667;46,9439506166667;41,475115142769;2,40582359999997;22,1818047100001;92,0086345;82,53574074;87,2721876218093;13,9490942666666;15,8112530866666;14,8801736777738;7,77634901071004;7,23407038800002;7,17306638966661;8,98365572928922;-1,00000000000003;0,66666666666667;-1,00000000000007;-1;1,00000000000001;-1,66666666666664;-0,00000000000000638378239159465;-1,36504692703605;-2,02944326350606;-2,42042557527111;-0,916666666666623;-0,865432098765401;-0,0512345679012123;0,107466712543019;0,107466712543019;-0,0349290972708418;0,110355260229704;256,150926;124,272222222222;78,807960875;143,421717;4,78720762988764;4,02429201250002;5,83876132733322;4,78218060957804;5,70276733575528;8,05308641966655;8,0140627059999;3,36322677063953;5,7658366104566;4,67288694522608;33,4232485033333;19,5604938266667;26,4918711649998
12;16,26830037;23,4065958416668;19,6010329016668;0,569487570000014;1,29956790133334;0,934527735476818;0,0633060640326567;0,135423971033057;1,94769191792166;1,04444809033334;2,16174451833336;1,43215385433342;1,065276007;3,73944740627942;1,34621155731387;117,799489399433;138,6072642;-30,3985000000001;173,0360722;NA;220,4056622662;129,270429088515;34,74879422;66,4119918801202;53,33671059;56,80670037;176,125470177877;75,4015217767079;133,3437667;133,9780093;175,873621783963;107,296362438104;84,20008191;99,6518873659023;90,1987617199293;81,51707407;109,439419749632;29,0008981867435;4,0651506030833;6,22531483383331;3,02101999112502;3,46489844583333;2,27639282933337;2,26754210483355;3,93881450783312;2,01298885099993;5,06586200500005;2,64467650093246;4,07026087105209;80,3769182766663;73,7518518533333;77,0643850658569;3,55364937626656;6,04669011288618;6,22568915654149;5,86765876784926;3,60200311035529;3,60200311035529;-1,11668621733207;6,11174258143285;6,22531483383331;4,76456932133174;1096,00882229269;1243,20000000003;1353,9;860,962835893144;925,572893503173;18,9099803186057;NA;-38,8256971792751;-20,6009760447011;1,85796665305677;3,94764953909242;2,02093875009808;-1,03390553960994;-15,0460756932234;2,48019955332645;14,2414617831184;-7,16990477311422;-29,9501005570412;-14,4588832797965;-8,02748277692672;-0,548464492592956;9,53726392263696;-0,619925018325093;-1,00696112807023;1,02157047399077;1,12546671866664;0,922480415733645;35,146732985833;2,83539812410305;2,20216049366655;2,00743553799994;4,32219146228035;8,28489606250007;182,208466775001;36,739613;47,5106172833333;42,1251151427691;2,73770530000002;24,1818047100001;91,0086345;82,9024074066667;86,9555209551425;14,7857609333333;16,0545864199999;15,4201736777739;7,36867915483874;7,23407038800008;6,67306638966653;8,34450559010673;-1,00000000000003;0,333333333333294;-0,666666666666695;-0,666666666666685;1,00000000000001;-1,33333333333334;0,0000000000000757172102794357;-1,04439903118376;-1,37453828937563;-1,65539304619988;-0,916666666666666;-1,53209876543211;0,615432098765432;0,0884730969234249;0,0884730969234249;-0,0187226924996763;0,109159438484505;253,817592666667;126,272222222222;83,9746275416666;140,120064366667;5,2390603471828;3,85762534583334;6,33876132733328;5,19044621996188;5,26249834251734;5,71975308633331;8,01406270599991;4,82090608482484;6,69064164269868;3,99457434582289;31,1899151699999;18,6271604933334;24,9085378316667
13;16,21891766;22,3907380933333;19,0543726883332;0,354475224333333;1,119480376;0,736977799969133;0,0912437687059427;0,157781666337071;2,36753398620964;1,41113100133335;2,300016123;2,32106007933334;1,096306918;3,53586749156972;2,05849182438464;119,673563473507;143,866996533333;-30,4890000000001;102,2172755;108,9985025;175,552849172938;113,860197921624;43,09922142;68,1603184002271;48,07072061;50,25717382;217,552727189962;75,6256566601651;74,36921551;91,25020786;95,9446253779666;86,0238540239976;108,1096671;124,439869159749;90,8112239690271;74,92629383;132,395097742811;24,8043541579922;4,4825056880833;5,45122975816664;3,67419644579182;2,96987491188095;1,84028347133333;2,75396185750004;3,58996734808343;1,01066599499999;4,57959480400002;1,31054934045888;3,49065335398107;79,6287701333333;70,2902266433333;74,959498388134;3,07410707726659;6,71520844942082;6,79175683937478;6,64163714114629;5,49461473591491;5,49461473591491;-0,97149262721052;7,27182778274304;5,45122975816664;4,35195178496238;893,114496918852;1024,7;1051,20000000001;714,026471994115;781,951656454412;-18,6200325276698;-14,7193691126619;-9,83967936924942;-1,3256325590047;5,65757895461005;2,99150224264729;-7,80206800552636;-7,68485820488779;8,5609329239652;-5,11550661402771;-14,0478517706915;-12,28263613386;-28,2667945945561;-1,19716162365627;-12,3761355262936;5,30834528428357;-18,9658649906416;-15,9206823072926;-9,587662177636;1,19910622626098;1,01955298199996;1,38131957911316;44,0192480291665;3,75994362380959;4,19845679066668;2,03133716400003;5,08770711410211;11,1051763202407;196,378145375001;36,6475142366667;46,9924414966667;41,819977866189;2,5650358;25,1371239100001;92,01530117;80,5632937166667;86,2892974430729;13,1298843933333;14,6090419199999;13,8694631563067;7,4342303010963;6,62248019166666;7,33912457699992;7,88964888081756;-1,33333333333333;0,666666666666703;-0,666666666666667;-1,33333333333338;1,00000000000006;-1,33333333333331;0,333333333333356;-1,71106569785045;-1,37453828937563;-1,65539304619981;0,145061728395049;0,0728395061728122;0,0722222222222302;0,0664150021170579;0,0664150021170579;-0,0161106195060291;0,122645509460403;286,976851833334;120,114197530864;82,0042306416666;157,771946433333;5,11579129426179;3,86060768016668;6,18778878433325;5,07220418745061;4,74721965942877;6,91358024699994;8,26499152933324;2,58574303918542;6,76393262390863;2,85834069926352;33,7365818366666;20,72169707;27,2291394533341
